KIN_ACC_ID	SUB_ACC_ID	score	ACC_ID	#Psites	Family	GENE
Q5S007	P84085	468	P84085	2	LRRK	LRRK2
Q5S007	Q02790	291	Q02790	21	LRRK	LRRK2
Q5S007	P11233	349	P11233	2	LRRK	LRRK2
Q5S007	O14641	679	O14641	6	LRRK	LRRK2
Q5S007	Q9H6T3	177	Q9H6T3	12	LRRK	LRRK2
Q5S007	P53041	300	P53041	4	LRRK	LRRK2
Q5S007	Q9BV20	270	Q9BV20	2	LRRK	LRRK2
Q5S007	P25789	287	P25789	5	LRRK	LRRK2
Q5S007	P82664	270	P82664	1	LRRK	LRRK2
Q5S007	P35250	270	P35250	4	LRRK	LRRK2
Q5S007	Q6J9G0	150	Q6J9G0	2	LRRK	LRRK2
Q5S007	P29992	550	P29992	1	LRRK	LRRK2
Q5S007	P82673	270	P82673	1	LRRK	LRRK2
Q5S007	Q92519	251	Q92519	1	LRRK	LRRK2
Q5S007	O60306	167	O60306	6	LRRK	LRRK2
Q5S007	P43686	282	P43686	5	LRRK	LRRK2
Q5S007	Q8WZ74	171	Q8WZ74	6	LRRK	LRRK2
Q5S007	O94805	302	O94805	2	LRRK	LRRK2
Q5S007	Q9H6S0	341	Q9H6S0	21	LRRK	LRRK2
Q5S007	P20749	171	P20749	6	LRRK	LRRK2
Q5S007	Q15645	330	Q15645	5	LRRK	LRRK2
Q5S007	P02533	273	P02533	39	LRRK	LRRK2
Q5S007	Q99714	270	Q99714	2	LRRK	LRRK2
Q5S007	O95631	167	O95631	1	LRRK	LRRK2
Q5S007	P08243	270	P08243	2	LRRK	LRRK2
Q5S007	Q99952	183	Q99952	5	LRRK	LRRK2
Q5S007	Q13163	317	Q13163	7	LRRK	LRRK2
Q5S007	Q9NQ88	270	Q9NQ88	1	LRRK	LRRK2
Q5S007	O95168	270	O95168	1	LRRK	LRRK2
Q5S007	Q6AI08	199	Q6AI08	16	LRRK	LRRK2
Q5S007	Q02809	299	Q02809	1	LRRK	LRRK2
Q5S007	Q9NW64	400	Q9NW64	4	LRRK	LRRK2
Q5S007	O75628	433	O75628	5	LRRK	LRRK2
Q5S007	P31930	273	P31930	12	LRRK	LRRK2
Q5S007	Q9C075	270	Q9C075	4	LRRK	LRRK2
Q5S007	Q16401	270	Q16401	1	LRRK	LRRK2
Q5S007	O15264	154	O15264	7	LRRK	LRRK2
Q5S007	P18206	270	P18206	57	LRRK	LRRK2
Q5S007	P48556	270	P48556	2	LRRK	LRRK2
Q5S007	P61266	219	P61266	3	LRRK	LRRK2
Q5S007	Q9NZ01	270	Q9NZ01	1	LRRK	LRRK2
Q5S007	Q9Y5L4	270	Q9Y5L4	3	LRRK	LRRK2
Q5S007	P53778	154	P53778	5	LRRK	LRRK2
Q5S007	Q15459	376	Q15459	18	LRRK	LRRK2
Q5S007	P62318	355	P62318	2	LRRK	LRRK2
Q5S007	P28482	356	P28482	10	LRRK	LRRK2
Q5S007	P53007	483	P53007	4	LRRK	LRRK2
Q5S007	Q96GD0	270	Q96GD0	1	LRRK	LRRK2
Q5S007	Q6NXT1	171	Q6NXT1	4	LRRK	LRRK2
Q5S007	Q9NS69	316	Q9NS69	3	LRRK	LRRK2
Q5S007	Q9Y3I0	270	Q9Y3I0	3	LRRK	LRRK2
Q5S007	O00178	270	O00178	19	LRRK	LRRK2
Q5S007	Q9BPW8	270	Q9BPW8	2	LRRK	LRRK2
Q5S007	P33992	285	P33992	6	LRRK	LRRK2
Q5S007	Q96D21	349	Q96D21	1	LRRK	LRRK2
Q5S007	Q14166	270	Q14166	10	LRRK	LRRK2
Q5S007	Q15750	247	Q15750	3	LRRK	LRRK2
Q5S007	P35579	304	P35579	60	LRRK	LRRK2
Q5S007	O15371	270	O15371	10	LRRK	LRRK2
Q5S007	P62877	254	P62877	1	LRRK	LRRK2
Q5S007	Q99798	288	Q99798	10	LRRK	LRRK2
Q5S007	Q9Y5B9	282	Q9Y5B9	14	LRRK	LRRK2
Q5S007	Q07890	179	Q07890	6	LRRK	LRRK2
Q5S007	P06737	285	P06737	5	LRRK	LRRK2
Q5S007	P25788	287	P25788	7	LRRK	LRRK2
Q5S007	O95433	286	O95433	3	LRRK	LRRK2
Q5S007	P55010	270	P55010	11	LRRK	LRRK2
Q5S007	P27695	270	P27695	6	LRRK	LRRK2
Q5S007	Q16822	270	Q16822	6	LRRK	LRRK2
Q5S007	Q9UL46	282	Q9UL46	4	LRRK	LRRK2
Q5S007	P11216	494	P11216	8	LRRK	LRRK2
Q5S007	P10244	173	P10244	26	LRRK	LRRK2
